,Name,Category,Biz City,Biz Zip,Biz Lat,Biz Lng,Rating,Review Count,Price,Yelp ID
22,Zintzuni Cocina Mexicana,"['Mexican', 'Food Trucks']",Sacramento,95828,38.5815719,-121.49439960000001,4.5,38,Unavailable,f1qZQRX6bT5n0fs-mLcKzA
24,Taqueria La Michoacana,['Mexican'],Dunnigan,95937,38.867540000000005,-121.955022,4.5,8,Unavailable,PHfhxjx9SsNXBoh-35BIrQ
25,Denny's,"['Diners', 'Breakfast & Brunch', 'American (Traditional)']",Dunnigan,95937,38.861979999999996,-121.95166,3.0,23,$$$,GH_OZqTWQ5EAZJ18s8ry8Q
26,Wendy's,"['Fast Food', 'Burgers']",Dunnigan,95695,38.862271,-121.95067900000001,3.5,18,$,VtiwQUNJscarGepAoIhW4A
27,Wendy's,"['Fast Food', 'Burgers']",Arbuckle,95912,38.862276,-121.950631,2.5,6,$,CkZHjsNt5up-zX5ZQrWrQA
28,Jack in the Box,"['Fast Food', 'Burgers', 'Breakfast & Brunch']",Dunnigan,95937,38.8818809163785,-121.9711408,2.0,32,$,GPEckpCj-p1q5ckfF0CvQw
34,El Molcajete,['Mexican'],Cloverdale,95425,38.7844049462974,-123.01494097934601,4.0,90,$$,vDVaUkNFw3__cspco8z6nw
36,101 Thai Way,['Thai'],Cloverdale,95425,38.783698,-123.01120900000001,4.5,198,$$,kzQg7SmFR4YR_cK2tWRjEQ
37,KS Tian Yuen Restaurant,"['Chinese', 'Japanese', 'Sushi Bars']",Cloverdale,95425,38.800350189209,-123.017036437988,4.0,119,$$,GT3BntVo-Ves8ZywrmHTkg
40,Zini's Diner,"['American (Traditional)', 'Breakfast & Brunch']",Cloverdale,95425,38.791995,-123.016825,4.0,108,$$,qqpHX6ksqim3Sgm94zkTLA
43,Thai Spice,"['Thai', 'Desserts', 'Salad']",Cloverdale,95425,38.7844048,-123.01299479999999,4.5,50,$$,PgwlPkDTeiVvG44Jn2DjQg
46,Los Pinos Deli Market,"['Grocery', 'Tacos', 'Sandwiches']",Cloverdale,95425,38.79853,-123.01745,4.5,22,$$,9G2LpinvOizjurjyRvn9wg
47,Aztec Grill,['Mexican'],Cloverdale,95425,38.78373,-123.01268999999999,3.5,18,$,519ahIkavklyHgmZY_B-ig
48,Taco bell,"['Fast Food', 'Mexican']",Cloverdale,95425,38.7839490229458,-123.01141016185301,3.5,5,$,OE1qwg3bKhp_sKy_1mxSFA
49,McDonald's,"['Burgers', 'Fast Food', 'Coffee & Tea']",Cloverdale,95425,38.784104343224,-123.013211269013,2.0,32,$,AbV2CKvuLpXVGpWER65Z4Q
50,Subway,"['Sandwiches', 'Fast Food']",Cloverdale,95425,38.78456,-123.01508000000001,1.0,5,$,SckKW2thzadVIqTvnSLJKg
51,Subway,"['Sandwiches', 'Fast Food']",Cloverdale,95425,38.783863067627,-123.011474609375,2.5,4,$,W76ZrwAjPd751X-oEKvLJw
52,Golden Gate Shell,"['Gas Stations', 'Fast Food', 'Sandwiches']",Cloverdale,95425,38.783863067627,-123.011474609375,2.5,3,$$,9N-td0mNSbt5fOqUybF2iA
60,Smoked Out BBQ Joint,"['Food Trucks', 'Barbeque']",Hidden Valley Lake,95467,38.78993,-122.56798,5.0,11,Unavailable,zWUmav2eldv-xNebFW6GdA
61,Si Senor Mexican Restaurant,['Mexican'],Hidden Valley Lake,95467,38.7953217,-122.5571324,4.0,36,$$,uUGyY-4a2mftq3eZ5NWqaw
62,Stone Fire Pizza,['Pizza'],Hidden Valley Lake,95467,38.794579999999996,-122.5561,3.5,63,$$,9EGaRUZQnEleInYnY7JjTQ
63,Greenview Restaurant,"['American (Traditional)', 'Desserts', 'Breakfast & Brunch']",Hidden Valley Lake,95467,38.7961100696944,-122.555791417764,3.5,37,$$,fmsBtAGjka2PmI-i3-MIug
64,Crave Coffee House,['Restaurants'],Hidden Valley Lake,95467,38.7919427454472,-122.556662410498,4.0,1,Unavailable,2SvpmZm4iCC5F3qUu0ZfbA
65,Tnt's Frozen Yogurt & Deli,['Delis'],Hidden Valley Lake,95467,38.794579999999996,-122.5561,5.0,1,Unavailable,frJoI4IuQQRySMEKv_Ztrg
66,Subway,"['Sandwiches', 'Fast Food']",Hidden Valley Lake,95467,38.794579999999996,-122.5561,3.0,8,$,QJjBLrqaFqdgj_Bnzj4DJQ
75,Zamora Mini Market,"['Gas Stations', 'Sandwiches']",Zamora,95698,38.7946593740159,-121.87827974442699,3.5,19,$,ztXzShIWtjRuqQmDEltBdg
77,Cousins Maine Lobster - Sacramento,"['Seafood', 'Food Trucks']",Sacramento,95811,38.576209999999996,-121.48323,3.5,210,$$,m4r2Cms0xbz5II8W6CS1gA
80,Las Maracas Mexican Restaurant,['Mexican'],Knights Landing,95776,38.79846,-121.72153,4.5,20,$,lYrDm8vSFJpLgYNjfd7EPw
81,Wayside Market,"['Grocery', 'Delis', 'Mexican']",Knights Landing,95645,38.796051025390604,-121.722900390625,2.5,2,$,jQEVq9T96CeuaXluUpfyxQ
95,Mount St Helena Brewing,"['Breweries', 'Salad', 'American (Traditional)']",Middletown,95461,38.7519950866699,-122.61581420898399,3.5,48,$$,jI7KjPdK3M6OnQF6XADllg
96,Buddha Thai Restaurant,['Thai'],Middletown,95461,38.754306799999995,-122.6147749,4.5,93,$$,vNspqciLSh22oTD-P2yDTg
97,La Parrilla Mexican Grill,['Mexican'],Middletown,95461,38.7472891318633,-122.619491815567,4.5,80,$$,RHJEH_jsaBpLOqlLBg6BEw
98,Cowpoke Cafe,"['Breakfast & Brunch', 'Cafes', 'American (Traditional)']",Middletown,95461,38.752876,-122.61453200000001,4.0,114,$$,bav9AH6FnN3Hmb6-iB46gg
99,Su Garden,['Chinese'],Middletown,95461,38.748776987909004,-122.616259367979,3.5,26,Unavailable,YtcCtP6IQoYnpRAfaQNCyg
100,Rosales Market,"['Grocery', 'Mexican']",Middletown,95461,38.7517700195312,-122.615036010742,4.5,21,$,uVDcF-YKuKwtT6ia-4fJtA
101,Perry's Delicatessen and Catering,"['Caterers', 'Delis']",Middletown,95461,38.748222351074205,-122.616348266602,4.0,64,$,RP6K-zNK9PTP0VJl58PUmQ
102,Beulah's Kitchen,"['Breakfast & Brunch', 'Sandwiches']",Middletown,95461,38.752802,-122.61524399999999,4.0,52,$,AryswSxbgLIw240tYFoH-A
103,Jolly Kone,"['Hot Dogs', 'Ice Cream & Frozen Yogurt', 'American (Traditional)']",Middletown,95461,38.75494389019671,-122.612016,4.0,44,$,wdK68QhevBGWtmPbQ3xH1Q
104,Manzanita Restaurant,"['Breakfast & Brunch', 'American (Traditional)']",Middletown,95461,38.7327654749236,-122.624742910266,5.0,1,Unavailable,urTr5IB3YfZ0keA2-39cbg
113,C2 Steak & Seafood,"['Steakhouses', 'Seafood']",Brooks,95606,38.734297,-122.1429269,4.5,64,$$$,YyVSujNZAn3PO5KHJKl9yw
114,Chang Shou,['Chinese'],Brooks,95606,38.73462,-122.14041999999999,3.5,57,$$,TerLx55H-WaHVxVj1kr6_Q
115,Harvest Buffet,"['Buffets', 'American (Traditional)', 'Mexican']",Brooks,95606,38.73462,-122.14041999999999,3.0,129,$$,iYLGEUxownGaaMIsBGSwuA
116,Bahtenta Grill,['American (New)'],Capay,95607,38.736482642838794,-122.136452123523,4.0,2,Unavailable,CgwN4W0_WzeSThKlnt5M8w
117,Canyon Cafe,['American (Traditional)'],Brooks,95606,38.73462,-122.14041999999999,3.0,49,$$,uj6exrcBXxTlWctd6v5VUw
118,Asian Kitchen,['Asian Fusion'],Brooks,95606,38.735324859619105,-122.140884399414,3.0,23,$,GLxxQvJoUjvWSkEUpUfVlg
119,The Sports Page Pub & Grill,"['Sports Bars', 'Burgers', 'Pizza']",Brooks,95606,38.73462,-122.14041999999999,4.0,21,$$,H0BTPeaQjiePCXe8gli9Yg
120,Kung Fu Fat's Asia Cafe and Noodle House,"['Chinese', 'Noodles']",Brooks,95606,38.73462,-122.14041999999999,3.5,12,$$,hnAbkQWQ0KMovcKtbBKBkw
121,The Deli,"['American (Traditional)', 'Sandwiches', 'Soup']",Brooks,95606,38.73462,-122.14041999999999,3.0,8,$,qibkrAQ9zbQ1M-w6b-xmpg
122,Loco Express,['Mexican'],Brooks,95606,38.73462,-122.14041999999999,2.5,14,$$,z8Pk9un-E0PPNqFeGJGI8A
131,Casa Ruiz,['Mexican'],Woodland,95776,38.71712,-121.76749,5.0,6,Unavailable,x995VZzReY8yiH0lFluf8Q
136,Catelli's,"['American (New)', 'Italian', 'Bars']",Geyserville,95441,38.7066059,-122.9045721,4.5,617,$$,Wj8k1Rq86UywXZko-aalaA
137,Diavola Pizzeria & Salumeria,"['Italian', 'Pizza']",Geyserville,95441,38.7063593,-122.90420159999998,4.0,687,$$,gMwxfXT_QPTYicFfdQeeWg
138,Geyserville Grille,['American (Traditional)'],Geyserville,95441,38.713723,-122.91497,3.5,121,$$,00gDhXc0WHN-XqeUWv_Iog
139,Wero,['Tex-Mex'],Geyserville,95441,38.715447999999995,-122.923079,4.5,48,$$,AEQj8nCsfq8E7v59cMiWQg
140,"Rustic, Francis's Favorites","['Italian', 'American (New)', 'Pizza']",Geyserville,95441,38.680240000000005,-122.88752,4.0,669,$$,jEEp2Nimv9C7YeqwrNoSGQ
141,Krispy Krunchy Chicken,['Chicken Shop'],Geyserville,95441,38.70677,-122.90503000000001,4.0,4,Unavailable,KSvLI-yFoKVPEUr_4exOOA
142,Lonchera Los Compas,"['Food Stands', 'Mexican']",Geyserville,95441,38.71333,-122.91968,4.0,3,$,ZS9o3qiOmEcVXCQMm_nOGQ
144,Quail Run Buffet,['Buffets'],Geyserville,95441,38.698999996062796,-122.86221973801399,3.5,26,$$,aigMv_ngml92jA7XcCnHbw
145,Center Stage Bar and Grill,['American (New)'],Geyserville,95441,38.703331,-122.859624,3.0,8,Unavailable,xmn7JsaU1Ki3d19ft41mIw
164,Road Trip Bar & Grill,"['Bars', 'American (Traditional)', 'Breakfast & Brunch']",Capay,95607,38.706990000000005,-122.04858,4.5,98,$$,ZGIlBQFv2FFaJEqepm2PvQ
168,Hog Canyon Cafe,['Cafes'],Esparto,95627,38.6950660713032,-122.01580280096901,4.0,14,Unavailable,5uR8jwf_YKxElI5HbTSy1A
169,The Ravine on Sixteen,"['American (Traditional)', 'Chicken Wings']",Esparto,95627,38.694725,-122.0160568133,5.0,1,Unavailable,q1aEdJkvHZbOjOr9RXbQBA
170,Tacos Jesus Maria,"['Food Trucks', 'Mexican']",Esparto,95627,38.695461273193395,-122.01815032959,3.5,10,$,IDe3LKlKlgv0toYl_7Bq1w
171,Wygold Cafe,"['Breakfast & Brunch', 'Cafes', 'Sandwiches']",Esparto,95627,38.694885,-122.016419,4.0,1,Unavailable,umF8GpPxkQJMgRvXk5EF7Q
175,La Plazita Taqueria,['Mexican'],Madison,95653,38.6813285295014,-121.96769099999999,4.5,37,$,OVK3-KfOxNG5hNW8riDqKg
179,Doggeros,"['Burgers', 'Mexican']",Woodland,95695,38.67634,-121.77273000000001,4.0,48,Unavailable,x4cq08Vk2gRcZ-IrKSsWVQ
180,Mojo's Kitchen428,"['American (New)', 'Lounges', 'Gluten-Free']",Woodland,95695,38.67673679999999,-121.77326969999999,4.0,359,$$,Vzu6AYsu3Iof5vgx2bqRdQ
181,Pupuseria La Chicana,"['Mexican', 'Salvadoran']",Woodland,95695,38.6780222916329,-121.782438755035,4.5,300,$,mPKCC4DfGetWIEH83lhW3A
182,Las Brasas Tacos & Salsas,['Tacos'],Woodland,95695,38.6775927049914,-121.773440822526,4.0,271,$,GzQSi5vwAHtkVUEGTGu_bQ
183,The Elephant Shack,"['Breakfast & Brunch', 'Burgers', 'American (Traditional)']",Woodland,95695,38.6920649,-121.774752,4.0,257,$,Gk2MhVgnbkz6Nx5a-61EPA
184,Morgan's On Main,"['American (New)', 'Steakhouses', 'Comfort Food']",Woodland,95695,38.67719,-121.77242,4.0,242,$$,6fIsj_Suk_nn8YcDhth5xw
185,The Burger Saloon,"['Burgers', 'Beer Bar', 'Cocktail Bars']",Woodland,95695,38.677784,-121.77294199999999,4.0,447,$$,-y7coUui6uzoNmUPUsr1KA
186,Guinevere's Cafe & Bistro,"['Italian', 'Scandinavian']",Woodland,95695,38.6781999,-121.77166000000001,4.0,163,$$,OBMLQekQjYUIBF2HNFMa_A
187,Father Paddy's,"['Irish Pub', 'Comfort Food']",Woodland,95695,38.6776842,-121.77489080000001,4.0,195,$$,uvvloS1quHdsYVcG3zmRDw
188,Pete's Restaurant & Brewhouse,"['Pizza', 'American (Traditional)', 'Pubs']",Woodland,95695,38.67702,-121.78038000000001,4.0,271,$$,lHSD1USMKnhN8yiWL8ZWDQ
189,House of Shah,"['Afghan', 'Halal']",Woodland,95695,38.6773351,-121.7733683,4.5,196,$$,TUjpU3eMtXNJsnh6H2HCrw
190,Osaka Sushi Japanese Restaurant,"['Japanese', 'Sushi Bars']",Woodland,95695,38.67719,-121.77273000000001,4.0,226,$$,mLjvSYtaS_DL8Z5Ng4ijrQ
191,Ono Teriyaki,"['Hawaiian', 'Japanese']",Woodland,95776,38.684979999999996,-121.76493,4.0,146,$,201p5inZWJzr1T-2dM87WA
192,Chickpeas Kitchen - Woodlands,"['Kebab', 'Falafel', 'Middle Eastern']",Woodland,95695,38.67719,-121.77043,4.5,100,$,oEvI9veTa76X3iEwgA8pNQ
193,Morgan's Mill,"['Coffee & Tea', 'Waffles', 'Wine Bars']",Woodland,95695,38.678844899999994,-121.7662288,4.5,155,$$,OFTjDAXDAnANzJOMl60rHg
194,Sakura,"['Sushi Bars', 'Steakhouses']",Woodland,95695,38.6784556975466,-121.793680996169,3.5,122,$$,8Ygpx5EVwhCmVkzhzT9QsQ
195,Thai Pepper,['Thai'],Woodland,95695,38.677299623637,-121.770300418139,4.0,90,$$,hyUVryYv1kgz0xiwqZYGoA
196,Bangkok Cuisine Woodland,['Thai'],Woodland,95695,38.677721000000005,-121.773807,4.0,114,$$,bOx0Ua2izBbe8g9k8EGg1g
197,Swagat Indian Cuisine,['Indian'],Woodland,95695,38.679941,-121.78753,4.5,125,$$,TGIWvqH4zzcbnmKvU-FIbg
198,Golden Dragon Restaurant,['Chinese'],Woodland,95695,38.677524600000005,-121.8007584,3.5,127,$,vBVGgtpclNBYmHxil0QRgw
199,Fiattos Pizzeria,['Pizza'],Woodland,95695,38.677076,-121.800497,4.0,20,Unavailable,iuecHmRGoeeqDpcc5cx-PA
200,Scribbler's Coffeehouse,"['Coffee & Tea', 'Sandwiches', 'Breakfast & Brunch']",Woodland,95695,38.67718,-121.77385,4.5,23,Unavailable,U8C3TfUQYIscpDoDlndg7w
201,Rafael's Family Restaurant,"['American (Traditional)', 'Diners']",Woodland,95695,38.67818,-121.78353,4.0,40,$,JMhVSkK_xAXQexItAJat7A
203,Taqueria Guadalajara,['Mexican'],Woodland,95695,38.679613200000006,-121.7845175,4.0,152,$,f8tOeIFlkMTqEh57_mg1aQ
204,Brown's Corner Bar & Grill,"['Bars', 'American (Traditional)']",Woodland,95695,38.678090999999995,-121.802099,4.0,35,$$,0SN5OmVNmnlJBjskRttJgQ
205,Ranch Kitchen,['Breakfast & Brunch'],Woodland,95776,38.690241,-121.76488940000002,4.0,74,$,ui0cGsdqGAL-jnzZHWE7Lg
206,Quetzal,['Mexican'],Woodland,95695,38.67921,-121.78445,4.0,80,$,aDaRshTD2iYovrNRKeJ3BA
207,Wingstop,['Chicken Wings'],Woodland,95695,38.678548,-121.783565,3.0,28,$$,sBkZbrhyx1EH2nu0wsvyag
208,Corkwood Restaurant,['American (Traditional)'],Woodland,95695,38.67863,-121.78971000000001,3.5,55,$$,ghi6MsTnTPit0UT0pYz9Rg
209,Vince's Mexican Restaurant,['Mexican'],Woodland,95695,38.6779747009277,-121.790771484375,4.0,136,$$,0OaKGd6P7JYeFDJ9jmGhHg
210,The Black Pearl Bar & Grill,"['Food Trucks', 'American (New)', 'Breweries']",Woodland,95776,38.698211669921896,-121.767578125,4.0,4,$$,IJBK6Q95zcEdaULn8VTYsg
211,Hot dogs y elotes el primo,['Hot Dogs'],Woodland,95695,38.6785159317123,-121.77329711616001,3.5,10,$,-PyyA_nkLF_-Ulwimbfh2A
212,La Kora Taco Truck,"['Mexican', 'Food Trucks']",Woodland,95695,38.692,-121.78383000000001,4.5,63,$,1x4qoGOHUcRJeZg_zwP9-g
213,Sol Mexican Cuisine,['Mexican'],Woodland,95695,38.67628860473629,-121.80169677734399,3.5,136,$$,a6rHI43bgJNmlAjQjrq8pA
214,Maria's Cantina,"['Mexican', 'Latin American', 'Sports Bars']",Woodland,95695,38.678470000000004,-121.76700000000001,3.5,261,$$,0fZ-KSJlU9FVGSr_PPtimQ
215,El Charro,"['Mexican', 'Beer Bar']",Woodland,95695,38.677614899999995,-121.775531,4.0,86,$,kU1pVJ-9Klkcgfk9Rb5ksA
216,Denny's,"['Diners', 'American (Traditional)', 'Breakfast & Brunch']",Woodland,95695,38.700597475874794,-121.782961785793,2.0,55,$$,mXop3_BctkF4yKSHefZomA
217,Zitio Sports-Bar and Grill,"['Sports Bars', 'American (Traditional)']",Woodland,95776,38.68436,-121.76482,4.0,23,$,dpegGHR1-FW_6EAoROESxw
218,Judy's Grinder,"['Cheesesteaks', 'American (Traditional)', 'Sandwiches']",Woodland,95695,38.6780281066895,-121.797256469727,3.0,106,$,QaQme_JyXW5qEVyDxM_3dQ
219,Country Waffles,"['Breakfast & Brunch', 'Desserts']",Woodland,95695,38.6773109436035,-121.802108764648,4.0,88,$,AiXjHzknMjGdqPdtbiLtkw
220,China Smorgi,['Chinese'],Woodland,95695,38.67921,-121.78498,2.5,38,$,SbvPH0bHbQLU9JCH4yb3CA
221,Las  Milpas  Taqueria,['Mexican'],Woodland,95695,38.677241200000005,-121.773399,4.0,29,$$,2MWFuydGGmJ9UvarQ_OvOQ
222,La Frontera Bar And Grill,"['Bars', 'Mexican', 'Breakfast & Brunch']",Woodland,95695,38.67907,-121.76862,4.0,44,$,M9RFq4yV8E-zdFHSolGiSw
223,Nugget Markets,"['Grocery', 'Fruits & Veggies', 'Sandwiches']",Woodland,95695,38.678133,-121.78053700000001,4.0,109,$$,P3KBneAIKjaCBbmvhwZtkg
224,Hecho En Mexico Taqueria,"['Mexican', 'Seafood']",Woodland,95695,38.677946399999996,-121.78879040000001,3.5,48,$,1LMc-RmtEyTf5Qn8rlCa0w
225,Chicago Cafe,"['Chinese', 'American (Traditional)', 'Seafood']",Woodland,95695,38.67767,-121.775749,3.5,32,$,YiE4GHyA_tZMFkoTy9fogg
226,Savory Cafe,"['Breakfast & Brunch', 'Cafes', 'American (New)']",Woodland,95695,38.677654,-121.77107,3.0,223,$$,rIMyDW6AsDS4P9Z3nRha8w
227,Bella Bean Coffee,"['Cafes', 'Coffee & Tea']",Woodland,95695,38.677819899999996,-121.77088,4.0,28,$,3-qSf83uY5YqV0uUaJZUnw
228,McDonald's,"['Fast Food', 'Burgers', 'Coffee & Tea']",Woodland,95695,38.678519,-121.78668200000001,2.0,34,$,7UtoP2ya3h-rgm5JeL0fLw
229,Steve's Pizza - Woodland,"['Pizza', 'Salad', 'Sandwiches']",Woodland,95695,38.677629138125404,-121.77123714259399,3.0,100,$$,vNbF8WaO77xEAiqKu5-gWg
230,Super Burrito & Taqueria,"['Mexican', 'Breakfast & Brunch']",Woodland,95695,38.6790149,-121.7881943,3.5,46,$,qx4b6w4lgwxcPwOqP65LFA
231,TogoÃ¢ÂÂs Sandwiches,"['Delis', 'Fast Food', 'Sandwiches']",Woodland,95695,38.677440000000004,-121.80093000000001,3.5,34,$,lOU-ibZwIIv3Sy3kEygplg
232,Carl's Jr.,"['Salad', 'Burgers', 'Fast Food']",Woodland,95695,38.67794,-121.7883,2.5,18,$,-X5oHsnhqTE1W9ra8kUUZg
233,Taco Bell,"['Fast Food', 'Mexican', 'Tex-Mex']",Woodland,95695,38.677985,-121.79378500000001,3.0,23,$,6uiPd9JWuDjZXfPAbCfU3g
234,Zitio Taco Truck,"['Food Trucks', 'Mexican']",Woodland,95695,38.6926500499249,-121.783913299441,3.5,3,$,KZcdOvwbcC9BpCtr5wNGyw
235,Rico's Pizza,['Pizza'],Woodland,95695,38.677341461181605,-121.79205322265601,2.5,61,$$,kWAfD1FXgqx-1W6B850Avw
236,Wienerschnitzel,"['Hot Dogs', 'Fast Food', 'Sandwiches']",Woodland,95695,38.67718,-121.78898000000001,3.5,18,$,kEHf4DMUKzJis387fnGj-Q
237,KFC,"['Fast Food', 'Chicken Wings', 'Chicken Shop']",Woodland,95695,38.6774,-121.788,2.5,14,$,rHcvKFgTJNkX7oLFftlh0Q
238,El Jalisciense Restaurant,['Mexican'],Woodland,95776,38.6775649,-121.76468020000002,3.5,39,$,AT8C-Stg-n-vHIvYK2kIvA
239,Mariscos Los Reyes,"['Mexican', 'Food Trucks']",Woodland,95695,38.6766126,-121.7649136,4.5,3,Unavailable,lvyaJT7dT18JVNysx-_qWA
240,Papa Murphy's,['Pizza'],Woodland,95695,38.678768,-121.783277,4.0,22,$,rn_RwRIrnyAIUl2f4j5mvA
241,Little Caesars Pizza,['Pizza'],Woodland,95695,38.6789251863956,-121.787115186453,2.5,8,$,iRobBi6t-h8VUBPd9ikcRg
242,Burger King,"['Burgers', 'Fast Food']",Woodland,95695,38.677105,-121.796608,2.0,17,$,8sev7SWfcAj5m14oAWqDAw
243,Mariscos El Pantano,['Mexican'],Woodland,95776,38.67667,-121.76494,2.0,40,$$,0ktXfv81_KtNk_yjbSExtQ
244,La Fogata Restaurant,['Mexican'],Woodland,95695,38.6771,-121.76921999999999,3.0,5,$,IGwrgUomTQzjR6H3fKi8xg
245,Subway,"['Sandwiches', 'Fast Food']",Woodland,95695,38.678073499999996,-121.7887892,4.0,24,$,fIHE0i8bVu-WMRRZnPqSzA
246,Jack in the Box,"['Fast Food', 'Breakfast & Brunch', 'Burgers']",Woodland,95776,38.6770967727431,-121.7649136,2.5,29,$,KZLsiwn6abhonaEHjadSig
249,Subway,"['Sandwiches', 'Fast Food']",Woodland,95695,38.6775649,-121.77143999999998,4.5,12,$,XILmYSmKe-vT5ljZckpIMA
250,El Taco Guerrero,['Mexican'],Woodland,95776,38.67711,-121.76451000000002,5.0,1,Unavailable,mkHi63BI8Z7CJt4k00Aysg
252,Bella Familia Wood Fired Pizza,"['Pizza', 'Food Trucks']",Rocklin,95677,38.7891616821289,-121.23558807373001,5.0,65,$$,EVcYhA7TwRNClJ-Hsz7oPA
253,Gyro Palace,['Mediterranean'],Woodland,95776,38.676759999999994,-121.73818999999999,4.5,179,$,ELTBXCf8yL51r79lL-iYGQ
256,Jinju Sushi,['Sushi Bars'],Woodland,95776,38.6739162367915,-121.746103010733,4.0,321,$$,F8OTgKUfDiGw_vB87MKR-Q
259,El Paisano Taco Truck,"['Mexican', 'Food Trucks']",Woodland,95776,38.676990999999994,-121.756744,4.0,209,$,cD_oddbnbrYYDou-TOnbwA
262,La Michoacana Taqueria,['Mexican'],Woodland,95776,38.67666,-121.7273,4.0,32,$,IA6421DbADkdJKQyFQuWrA
264,Black Bear Diner,"['Diners', 'Breakfast & Brunch', 'Burgers']",Woodland,95776,38.67672,-121.74991999999999,3.0,186,$$,Evtfhv1hGLEjdoK-dcq8VQ
265,Treasure Dragon Chinese Cuisine and Sushi,"['Chinese', 'Sushi Bars']",Woodland,95776,38.676629999999996,-121.73683999999999,2.5,132,$$,v0MbF_DyPKz-WalucgSPLg
266,Sonic Drive-In,"['Fast Food', 'Burgers', 'Ice Cream & Frozen Yogurt']",Woodland,95776,38.6767430493708,-121.74787179388599,2.5,165,$,8RKAclOhuMk5W9nQaM-CtQ
267,Applebee's Grill + Bar,"['American (Traditional)', 'Sports Bars', 'Burgers']",Woodland,95776,38.676790000000004,-121.73921200000001,2.0,109,$$,Gfhv28AoqT8TB7trobSuHw
268,Tacos El Paisano,['Mexican'],Woodland,95776,38.677009999999996,-121.7566,4.0,69,$,dIzav0dl8LscdyGbY2g_sg
269,I Love Teriyaki No 7,['Japanese'],Woodland,95776,38.674923,-121.74624299999999,3.0,70,$,-HycErxij9Lvjbb1HW8esg
270,Dickey's Barbecue Pit,"['Barbeque', 'American (Traditional)', 'Southern']",Woodland,95776,38.676669861977295,-121.746316657599,3.0,71,$$,iQSp_I-x4QhO8OQlduETLQ
272,Ann's Gluten Free Goodies,"['Gluten-Free', 'Bakeries']",Woodland,95776,38.6728187097964,-121.757368482649,5.0,2,Unavailable,1Oc6JjOSd_awsmjjJqQdTg
